Voltage(kV),inner radius(mm),outer radius(mm)
2.5,13.65,14.95
3.0,12.50,14.75
3.5,11.60,14.25
4.0,10.85,12.95
4.5,9.80,12.55
5.0,10.00,12.05
5.5,9.20,11.25
6.0,9.05,10.50
